date;bank capital to assets ratio;bank nonperforming loans;cereal yield;energy imports;food exports;high-tech exports;inflation;lending interest rate;life expectancy;population density;real interest rate;broad money;exports of goods and services;gross domestic savings;high-tech value added;household consumption expenditure;imports of goods and services;listed companies;manufacturing value added;r and d spend;services trade;trade;government debt service;government interest payments external debt;government tax revenue;birth deaths;broadband subscriptions;electricity access;co2 emissions;electricity consumption;mobile subscriptions;newborns;overweight;rural population;unemployed;urban population;workers
2013-09-01;0.05461933482482736;0.04002095083782223;2.750821777777779;-0.13665645056125644;0.16534172736178201;0.06112573415976315;0.02904512456368294;0.06675105688940465;63.369046402842955;0.4123456988052085;0.04326499272350127;0.9104965811034004;0.2678929761674702;0.2577819132026282;0.06789004351238388;0.5234616867605698;0.2622229888236174;0.8020925397547511;0.1563955186926702;0.018819725327517165;0.12346605267324394;0.5876762676044763;0.06641437079634278;0.017800384135359133;1.0;0.006318525115290493;0.09805116019561429;0.8554054605561913;4.6782857707958465;2.980346538623916;0.9475192425916763;0.019350451762782887;0.23854628717808546;0.46738877041889004;0.009066594060086973;0.5323542372441592;0.10236391885606595
2013-10-01;0.05463026694557698;0.03997166689615738;2.7570994444444454;-0.13567213967568048;0.1652352565595098;0.06107617515432133;0.0289511908792875;0.06666960507979847;63.39362379336323;0.4127801963718374;0.04326732215155963;0.9116177694472648;0.2680188580673065;0.25792622809720533;0.06791917837272768;0.5230801673509089;0.26226593144408483;0.8035004206227593;0.15647960271527353;0.018793265549553007;0.12387126864249437;0.587374367298115;0.06741860632138527;0.017909283672183567;1.0;0.006296460145933118;0.09839173516794442;0.8558465367799033;4.6764441815137845;2.981884048189454;0.950533633508317;0.01934356660597347;0.23884866186157414;0.46701344609534645;0.008998879268818046;0.5327298415889504;0.10231205821848886
2013-11-01;0.0546411990663266;0.03992238295449253;2.7633771111111125;-0.13468782879010452;0.16512878575723758;0.06102661614887952;0.02885725719489206;0.0665881532701923;63.41820118388351;0.4132146939384662;0.043269651579618;0.9127389577911291;0.26814473996714283;0.25807054299178245;0.06794831323307148;0.5226986479412479;0.2623088740645523;0.8049083014907674;0.15656368673787685;0.01876680577158885;0.1242764846117448;0.5870724669917535;0.06842284184642776;0.018018183209008;1.0;0.006274395176575745;0.09873231014027455;0.8562876130036153;4.674602592231723;2.983421557754992;0.9535480244249578;0.01933668144916405;0.2391510365450628;0.4666381217718028;0.008931164477549117;0.5331054459337417;0.10226019758091179
2013-12-01;0.05465213118707622;0.039873099012827685;2.769654777777779;-0.13370351790452856;0.1650223149549654;0.06097705714343771;0.028763323510496625;0.06650670146058611;63.442778574403796;0.4136491915050951;0.04327198100767636;0.9138601461349936;0.2682706218669791;0.25821485788635956;0.06797744809341526;0.5223171285315868;0.2623518166850198;0.8063161823587756;0.15664777076048014;0.01874034599362469;0.12468170058099524;0.5867705666853922;0.06942707737147026;0.018127082745832433;1.0;0.0062523302072183705;0.09907288511260468;0.8567286892273274;4.672761002949661;2.9849590673205295;0.9565624153415986;0.019329796292354633;0.2394534112285515;0.46626279744825916;0.00886344968628019;0.5334810502785329;0.1022083369433347
2014-01-01;0.05466306330782584;0.03982381507116284;2.7759324444444458;-0.1327192070189526;0.16491584415269317;0.06092749813799589;0.028669389826101187;0.06642524965097993;63.467355964924074;0.414083689071724;0.04327431043573472;0.9149813344788579;0.2683965037668154;0.2583591727809367;0.06800658295375905;0.5219356091219259;0.2623947593054872;0.8077240632267837;0.15673185478308346;0.018713886215660534;0.12508691655024567;0.5864686663790307;0.07043131289651275;0.018235982282656864;1.0;0.006230265237860996;0.0994134600849348;0.8571697654510394;4.6709194136676;2.986496576886067;0.9595768062582394;0.019322911135545216;0.23975578591204016;0.46588747312471557;0.00879573489501126;0.5338566546233241;0.10215647630575762
2014-02-01;0.05472034965000848;0.03990526955398046;2.7760844444444457;-0.11904694344198566;0.16552908468437688;0.060719783341755644;0.027381348654930755;0.06628611639015872;63.45479094836943;0.41449430664232345;0.044342737990002774;0.9176485550264785;0.26849271494212745;0.2583426221152115;0.0680022865151954;0.5216319395451561;0.26234932356024976;0.8078529462965357;0.15672203766176054;0.01865348627728697;0.12536527629710695;0.5847265989724817;0.0707348475098276;0.018351291601666972;1.0;0.006207853350295887;0.10055811491062233;0.8582847063436315;4.6709194136676;2.986496576886067;0.9607478807728483;0.019304317581128487;0.24004425144284927;0.4655082782488468;0.008752825746072489;0.5342363247390567;0.10213873291370079
2014-03-01;0.054777635992191126;0.03998672403679808;2.7762364444444456;-0.10537467986501872;0.16614232521606057;0.0605120685455154;0.026093307483760327;0.0661469831293375;63.44222593181478;0.41490492421292285;0.045411165544270826;0.9203157755740992;0.26858892611743956;0.2583260714494862;0.06799799007663174;0.5213282699683862;0.2623038878150123;0.8079818293662877;0.15671222054043762;0.018593086338913406;0.12564363604396822;0.5829845315659326;0.07103838212314245;0.018466600920677076;1.0;0.006185441462730779;0.10170276973630986;0.8593996472362235;4.6709194136676;2.986496576886067;0.9619189552874572;0.019285724026711762;0.24033271697365838;0.46512908337297804;0.008709916597133716;0.5346159948547893;0.10212098952164397
2014-04-01;0.054834922334373766;0.0400681785196157;2.7763884444444455;-0.09170241628805179;0.16675556574774428;0.06030435374927516;0.024805266312589894;0.06600784986851628;63.429660915260136;0.4153155417835223;0.046479593098538885;0.9229829961217197;0.2686851372927516;0.258309520783761;0.06799369363806808;0.5210246003916164;0.26225845206977483;0.8081107124360396;0.1567024034191147;0.018532686400539844;0.12592199579082947;0.5812424641593835;0.07134191673645729;0.018581910239687183;1.0;0.006163029575165671;0.10284742456199739;0.8605145881288156;4.6709194136676;2.986496576886067;0.9630900298020661;0.019267130472295033;0.2406211825044675;0.46474988849710924;0.008667007448194944;0.5349956649705219;0.10210324612958714
2014-05-01;0.054892208676556406;0.04014963300243332;2.7765404444444455;-0.07803015271108485;0.167368806279428;0.060096638953034916;0.023517225141419466;0.06586871660769507;63.41709589870549;0.4157261593541217;0.04754802065280694;0.9256502166693404;0.2687813484680637;0.2582929701180358;0.06798939719950442;0.5207209308148465;0.26221301632453736;0.8082395955057916;0.15669258629779179;0.018472286462166282;0.12620035553769074;0.5795003967528345;0.07164545134977214;0.01869721955869729;1.0;0.006140617687600562;0.10399207938768491;0.8616295290214078;4.6709194136676;2.986496576886067;0.964261104316675;0.019248536917878308;0.24090964803527662;0.4643706936212405;0.00862409829925617;0.5353753350862543;0.10208550273753031
2014-06-01;0.05494949501873905;0.04023108748525094;2.7766924444444454;-0.06435788913411791;0.16798204681111167;0.05988892415679467;0.022229183970249033;0.06572958334687386;63.404530882150844;0.4161367769247212;0.04861644820707499;0.928317437216961;0.26887755964337573;0.25827641945231056;0.06798510076094076;0.5204172612380766;0.2621675805792999;0.8083684785755436;0.15668276917646887;0.01841188652379272;0.126478715284552;0.5777583293462853;0.07194898596308699;0.018812528877707395;1.0;0.006118205800035453;0.10513673421337244;0.8627444699139999;4.6709194136676;2.986496576886067;0.965432178831284;0.01922994336346158;0.24119811356608573;0.4639914987453717;0.008581189150317399;0.5357550052019869;0.10206775934547349
2014-07-01;0.05500678136092169;0.04031254196806856;2.7768444444444453;-0.050685625557150976;0.16859528734279539;0.059681209360554426;0.020941142799078605;0.06559045008605263;63.39196586559619;0.41654739449532063;0.04968487576134305;0.9309846577645817;0.2689737708186878;0.25825986878658536;0.0679808043223771;0.5201135916613067;0.26212214483406243;0.8084973616452955;0.15667295205514595;0.018351486585419158;0.12675707503141326;0.5760162619397363;0.07225252057640183;0.018927838196717502;1.0;0.0060957939124703445;0.10628138903905997;0.863859410806592;4.6709194136676;2.986496576886067;0.9666032533458928;0.019211349809044855;0.24148657909689483;0.4636123038695029;0.008538280001378625;0.5361346753177195;0.10205001595341666
