date,bank capital to assets ratio,bank nonperforming loans,cereal yield,energy imports,food exports,high-tech exports,inflation,lending interest rate,life expectancy,population density,real interest rate,broad money,exports of goods and services,gross domestic savings,high-tech value added,household consumption expenditure,imports of goods and services,listed companies,manufacturing value added,r and d spend,services trade,trade,government debt service,government interest payments external debt,government tax revenue,birth deaths,broadband subscriptions,electricity access,co2 emissions,electricity consumption,mobile subscriptions,newborns,overweight,rural population,unemployed,urban population,workers,Brazil,China,Colombia,France,Ghana,India,Indonesia,Japan,Netherlands,Senegal,Singapore,Switzerland,United States
2007-02-01,0.017068106889496157,0.008752389231977277,2.3706623333333323,-0.19074285337512348,0.1633367080492346,0.06099772296437031,0.06569649188092865,0.10147237420012853,62.000668518518495,0.377117410315601,0.05356228320767481,0.7779600698560106,0.25955859391756114,0.2619095720632989,0.0735513842635698,0.5425587318185052,0.25871957996725065,0.9875737433352542,0.16379793119479855,0.01792222942018227,0.1150080038070454,0.5803293337451682,0.052754271310678544,0.015207745144036274,1.0,0.008448832386922425,0.052349999618644026,0.8178907629990015,4.436304652994467,2.697731600515162,0.5083994205399763,0.020360168383112814,0.21336428601667745,0.4986936719454741,0.008443989519609566,0.5010418220690086,0.0937947827711149,0.038110497336778036,0.04909139478043493,0.05665426376081392,0.015984033836726873,0.11215179340793408,0.06535148387329552,0.067249046244285,0.0017004273842789876,0.016865788800938225,0.05977795791435778,0.024818484282369085,0.008734792486602463,0.02934874799430497
2007-03-01,0.01796385678027151,0.008984064270004137,2.3799486666666656,-0.18990777946225648,0.16316045432570536,0.060428734514025625,0.06800217661734427,0.09900494496137924,62.02880554652212,0.3776953027534645,0.04987581852121265,0.7806598856582557,0.2597739698816029,0.2616409176698472,0.07344234798693378,0.5423276134413737,0.2590421960630493,0.9443814480438252,0.1635252710327109,0.01801703510626545,0.11530033344072607,0.5820785843984487,0.0526895251510763,0.015042335915788881,1.0,0.008419358267896405,0.05310686878432203,0.8183330320220596,4.442460319504298,2.6993945554628387,0.5160160536970942,0.020352232514912968,0.21371313127640887,0.4982714012413807,0.0083147807671441,0.5014641855782727,0.09367466946159468,0.039808264763290684,0.05001513642649466,0.05786467848898505,0.017088087078067953,0.11697630611115314,0.06700300028808204,0.07043246435599981,0.002800460223571107,0.017592991621666148,0.06102287298194715,0.02858771048057967,0.010146218660807577,0.03017077117359633
2007-04-01,0.018859606671046858,0.009215739308030995,2.3892349999999998,-0.18907270554938949,0.16298420060217614,0.05985974606368093,0.07030786135375994,0.09653751572263,62.056942574525735,0.3782731951913279,0.046189353834750486,0.7833597014605008,0.2599893458456447,0.26137226327639546,0.07333331171029776,0.5420964950642422,0.2593648121588479,0.9011891527523964,0.1632526108706232,0.01811184079234863,0.11559266307440676,0.5838278350517294,0.05262477899147405,0.014876926687541484,1.0,0.008389884148870387,0.05386373795000005,0.8187753010451179,4.448615986014131,2.701057510410516,0.5236326868542122,0.020344296646713132,0.21406197653614034,0.4978491305372873,0.008185572014678634,0.5018865490875366,0.09355455615207443,0.041506032189803324,0.0509388780725544,0.05907509321715618,0.018192140319409026,0.12180081881437226,0.06865451670286854,0.07361588246771464,0.0039004930628632256,0.018320194442394074,0.062267788049536525,0.03235693667879025,0.011557644835012688,0.030992794352887706
2007-05-01,0.01975535656182221,0.009447414346057855,2.3985213333333326,-0.18823763163652246,0.16280794687864694,0.059290757613336235,0.07261354609017559,0.09407008648388074,62.085079602529355,0.3788510876291915,0.042502889148288335,0.7860595172627459,0.2602047218096865,0.2611036088829437,0.07322427543366175,0.5418653766871105,0.2596874282546465,0.8579968574609675,0.1629799507085355,0.01820664647843181,0.1158849927080874,0.5855770857050101,0.052560032831871814,0.014711517459294087,1.0,0.008360410029844367,0.05462060711567805,0.8192175700681761,4.454771652523962,2.7027204653581918,0.5312493200113301,0.020336360778513286,0.2144108217958718,0.4974268598331939,0.008056363262213168,0.5023089125968005,0.09343444284255424,0.04320379961631597,0.05186261971861413,0.0602855079453273,0.019296193560750102,0.12662533151759134,0.07030603311765504,0.07679930057942945,0.005000525902155346,0.019047397263121997,0.0635127031171259,0.036126162877000836,0.0129690710092178,0.03181481753217907
2007-06-01,0.02065110645259756,0.009679089384084716,2.407807666666666,-0.18740255772365544,0.16263169315511772,0.05872176916299154,0.07491923082659123,0.09160265724513147,62.11321663053297,0.379428980067055,0.038816424461826184,0.7887593330649909,0.2604200977737283,0.260834954489492,0.07311523915702574,0.5416342583099789,0.2600100443504451,0.8148045621695387,0.16270729054644778,0.018301452164514998,0.11617732234176807,0.5873263363582907,0.05249528667226956,0.01454610823104669,1.0,0.008330935910818347,0.05537747628135607,0.8196598390912342,4.460927319033793,2.704383420305869,0.538865953168448,0.020328424910313444,0.2147596670556033,0.4970045891291005,0.007927154509747701,0.5027312761060645,0.093314329533034,0.044901567042828605,0.05278636136467386,0.061495922673498425,0.02040024680209117,0.1314498442208104,0.07195754953244153,0.07998271869114428,0.006100558741447465,0.019774600083849923,0.06475761818471527,0.039895389075211424,0.014380497183422913,0.03263684071147043
2007-07-01,0.02154685634337291,0.009910764422111577,2.417094,-0.18656748381078844,0.16245543943158852,0.05815278071264685,0.07722491556300687,0.08913522800638224,62.141353658536595,0.3800068725049185,0.035129959775364025,0.7914591488672362,0.26063547373776996,0.26056630009604026,0.07300620288038973,0.5414031399328474,0.2603326604462437,0.7716122668781098,0.1624346303843601,0.01839625785059817,0.11646965197544876,0.5890755870115714,0.052430540512667316,0.014380699002799298,1.0,0.00830146179179233,0.05613434544703408,0.8201021081142924,4.467082985543625,2.7060463752535457,0.5464825863255658,0.0203204890421136,0.21510851231533476,0.4965823184250071,0.007797945757282236,0.5031536396153284,0.0931942162235138,0.04659933446934125,0.0537101030107336,0.06270633740166955,0.02150430004343225,0.1362743569240295,0.07360906594722805,0.08316613680285909,0.007200591580739584,0.02050180290457785,0.06600253325230465,0.043664615273422,0.015791923357628024,0.0334588638907618
2007-08-01,0.022442606234148257,0.010142439460138436,2.426380333333333,-0.18573240989792145,0.1622791857080593,0.05758379226230216,0.07953060029942252,0.08666779876763298,62.169490686540215,0.3805847649427819,0.03144349508890186,0.7941589646694813,0.26085084970181177,0.2602976457025885,0.0728971666037537,0.5411720215557159,0.2606552765420423,0.7284199715866808,0.1621619702222724,0.01849106353668136,0.11676198160912946,0.590824837664852,0.05236579435306507,0.0142152897745519,1.0,0.00827198767276631,0.056891214612712085,0.8205443771373506,4.473238652053457,2.7077093302012227,0.5540992194826837,0.020312553173913755,0.21545735757506615,0.4961600477209138,0.00766873700481677,0.5035760031245925,0.09307410291399357,0.048297101895853886,0.054633844656793336,0.06391675212984067,0.022608353284773328,0.1410988696272486,0.07526058236201456,0.08634955491457391,0.008300624420031705,0.021229005725305776,0.06724744831989403,0.047433841471632585,0.01720334953183314,0.03428088707005317
2007-09-01,0.02333835612492361,0.010374114498165296,2.4356666666666658,-0.1848973359850544,0.16210293198453007,0.057014803811957476,0.08183628503583817,0.08420036952888373,62.19762771454383,0.3811626573806454,0.0277570304024397,0.7968587804717264,0.2610662256658536,0.2600289913091368,0.07278813032711769,0.5409409031785842,0.2609778926378409,0.6852276762952522,0.1618893100601847,0.018585869222764537,0.11705431124281013,0.5925740883181326,0.052301048193462825,0.014049880546304504,1.0,0.008242513553740291,0.0576480837783901,0.8209866461604087,4.479394318563288,2.7093722851489,0.5617158526398016,0.020304617305713916,0.21580620283479765,0.4957377770168204,0.007539528252351303,0.5039983666338564,0.09295398960447336,0.04999486932236653,0.05555758630285307,0.0651271668580118,0.0237124065261144,0.14592338233046767,0.07691209877680108,0.08953297302628874,0.009400657259323823,0.0219562085460337,0.0684923633874834,0.05120306766984317,0.01861477570603825,0.03510291024934453
2007-10-01,0.024234106015698958,0.010605789536192156,2.4449529999999995,-0.1840622620721874,0.16192667826100085,0.05644581536161278,0.08414196977225383,0.08173294029013446,62.22576474254743,0.3817405498185089,0.02407056571597755,0.7995585962739715,0.2612816016298953,0.25976033691568506,0.07267909405048167,0.5407097848014526,0.2613005087336395,0.6420353810038231,0.161616649898097,0.018680674908847717,0.11734664087649077,0.5943233389714133,0.05223630203386058,0.013884471318057107,1.0,0.00821303943471427,0.0584049529440681,0.821428915183467,4.48554998507312,2.7110352400965763,0.5693324857969195,0.020296681437514067,0.2161550480945291,0.495315506312727,0.007410319499885838,0.5044207301431204,0.09283387629495313,0.05169263674887917,0.0564813279489128,0.06633758158618293,0.024816459767455477,0.15074789503368674,0.07856361519158757,0.09271639113800356,0.010500690098615944,0.022683411366761625,0.06973727845507277,0.05497229386805376,0.02002620188024336,0.0359249334286359
2007-11-01,0.02512985590647431,0.010837464574219016,2.4542393333333328,-0.1832271881593204,0.16175042453747165,0.055876826911268086,0.08644765450866948,0.07926551105138521,62.25390177055106,0.3823184422563724,0.020384101029515392,0.8022584120762166,0.2614969775939371,0.2594916825222333,0.07257005777384565,0.5404786664243211,0.2616231248294381,0.5988430857123943,0.1613439897360093,0.0187754805949309,0.11763897051017147,0.596072589624694,0.05217155587425834,0.013719062089809709,1.0,0.00818356531568825,0.059161822109746125,0.8218711842065252,4.491705651582951,2.712698195044253,0.5769491189540374,0.020288745569314228,0.21650389335426054,0.4948932356086336,0.00728111074742037,0.5048430936523844,0.0927137629854329,0.05339040417539182,0.057405069594972526,0.06754799631435404,0.02592051300879655,0.15557240773690584,0.08021513160637407,0.09589980924971836,0.011600722937908065,0.023410614187489548,0.07098219352266212,0.05874152006626434,0.021437628054448474,0.03674695660792726
2007-12-01,0.02602560579724966,0.011069139612245876,2.4635256666666665,-0.1823921142464534,0.16157417081394246,0.0553078384609234,0.08875333924508512,0.07679808181263595,62.28203879855468,0.3828963346942359,0.01669763634305323,0.8049582278784617,0.2617123535579789,0.2592230281287816,0.07246102149720964,0.5402475480471896,0.2619457409252368,0.5556507904209653,0.16107132957392162,0.018870286281014084,0.11793130014385216,0.5978218402779746,0.05210680971465609,0.013553652861562316,1.0,0.008154091196662232,0.059918691275424124,0.8223134532295833,4.497861318092783,2.7143611499919302,0.5845657521111554,0.020280809701114386,0.21685273861399199,0.4944709649045402,0.0071519019949549045,0.5052654571616484,0.09259364967591267,0.05508817160190446,0.05832881124103227,0.06875841104252517,0.027024566250137626,0.16039692044012493,0.08186664802116059,0.09908322736143317,0.012700755777200182,0.024137817008217474,0.07222710859025151,0.06251074626447492,0.02284905422865359,0.03756897978721863
